id,curl,thickness,density,historyCount,hairTypeKey,hairTypeTitle,textureSummary,styleDirection,procedureHint,damageModifier,damageCaution,homeCare,avoid,salonRequest,recommendedCareTags
"straight_hair__coarse__thick_density__count_1_2","straight_hair","coarse","thick_density","count_1_2","straight_coarse_dense","차분하지만 무거운 직모","직모에 숱도 많고 굵기도 있어서 힘 있고 차분한 인상을 주는 모발이에요.","다만 그만큼 무겁고 답답하게 떨어지기 쉬워서, 양감을 덜어내는 레이어드 커트와 끝선 정리로 무게감을 조절하는 방향이 좋아요. 정수리 볼륨을 살려주면 답답한 인상도 함께 줄어들어요.","손상 이력이 적어서 볼륨매직이나 디지털펌 같은 볼륨 시술을 편하게 고려해볼 수 있어요.","손상 이력 적음","지금은 시술 이력이 적어 특별히 주의할 부분은 없어요.","숱이 많은 편이니 밑머리 볼륨은 가볍게 눌러 정돈하면 하루 종일 깔끔하게 유지돼요. / 굵은 모발이라 트리트먼트를 3분 정도 얹어두면 흡수가 더 잘 돼요. / 지금처럼 관리하면 충분해요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 지금처럼 시술 빈도가 적은 편이면 특별히 피할 건 없어요.","""양감을 가볍게 조절하는 레이어드 커트나 볼륨매직으로 상담받고 싶어요."" / ""겉머리는 가볍게 틴닝해서 무게감만 살짝 줄여주세요.""","#굵은모 / #숱많음"
"straight_hair__coarse__thick_density__count_3_4","straight_hair","coarse","thick_density","count_3_4","straight_coarse_dense","차분하지만 무거운 직모","직모에 숱도 많고 굵기도 있어서 힘 있고 차분한 인상을 주는 모발이에요.","다만 그만큼 무겁고 답답하게 떨어지기 쉬워서, 양감을 덜어내는 레이어드 커트와 끝선 정리로 무게감을 조절하는 방향이 좋아요. 정수리 볼륨을 살려주면 답답한 인상도 함께 줄어들어요.","볼륨매직이나 디지털펌 같은 볼륨 시술을 고려할 수 있는 상태예요. 트리트먼트를 함께 챙기면 결과가 더 오래가요.","손상 이력 보통","다만 시술을 이어갈 계획이라면 트리트먼트 주기를 함께 챙기면 좋아요.","숱이 많은 편이니 밑머리 볼륨은 가볍게 눌러 정돈하면 하루 종일 깔끔하게 유지돼요. / 굵은 모발이라 트리트먼트를 3분 정도 얹어두면 흡수가 더 잘 돼요. / 주 1회 정도 트리트먼트를 더해주면 좋아요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 이번 주는 새 펌이나 염색보다는 트리트먼트 위주로 관리해보면 좋아요.","""양감을 가볍게 조절하는 레이어드 커트나 볼륨매직으로 상담받고 싶어요."" / ""겉머리는 가볍게 틴닝해서 무게감만 살짝 줄여주세요.""","#굵은모 / #숱많음"
"straight_hair__coarse__thick_density__count_5_6","straight_hair","coarse","thick_density","count_5_6","straight_coarse_dense","차분하지만 무거운 직모","직모에 숱도 많고 굵기도 있어서 힘 있고 차분한 인상을 주는 모발이에요.","다만 그만큼 무겁고 답답하게 떨어지기 쉬워서, 양감을 덜어내는 레이어드 커트와 끝선 정리로 무게감을 조절하는 방향이 좋아요. 정수리 볼륨을 살려주면 답답한 인상도 함께 줄어들어요.","전체 시술보다는 가벼운 레이어드 커트나 부분 볼륨부터 시작해보는 걸 추천해요.","손상 이력 잦음 — 주의 단계","다만 시술 이력이 잦은 편이라 강한 정돈 시술은 신중하게 접근하는 것이 좋아요.","숱이 많은 편이니 밑머리 볼륨은 가볍게 눌러 정돈하면 하루 종일 깔끔하게 유지돼요. / 굵은 모발이라 트리트먼트를 3분 정도 얹어두면 흡수가 더 잘 돼요. / 단백질 트리트먼트 빈도를 조금 늘려서 회복을 도와주세요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 다음 시술까지 2주 정도 간격을 두면 모발이 회복할 시간을 가질 수 있어요.","""강한 펌보다는 가벼운 레이어드 커트나 부분 볼륨으로 진행하고 싶어요."" / ""겉머리는 가볍게 틴닝해서 무게감만 살짝 줄여주세요.""","#굵은모 / #숱많음 / #손상케어"
"straight_hair__coarse__thick_density__count_7plus","straight_hair","coarse","thick_density","count_7plus","straight_coarse_dense","차분하지만 무거운 직모","직모에 숱도 많고 굵기도 있어서 힘 있고 차분한 인상을 주는 모발이에요.","다만 그만큼 무겁고 답답하게 떨어지기 쉬워서, 양감을 덜어내는 레이어드 커트와 끝선 정리로 무게감을 조절하는 방향이 좋아요. 정수리 볼륨을 살려주면 답답한 인상도 함께 줄어들어요.","강한 정돈 시술보다 홈케어로 컨디션을 먼저 회복한 뒤 가벼운 레이어드 커트나 부분 볼륨 정도로 시작하는 걸 추천해요.","손상 이력 많음 — 신중 단계","다만 시술 이력이 많아 강한 정돈 시술은 신중하게 접근하는 것이 좋아요.","숱이 많은 편이니 밑머리 볼륨은 가볍게 눌러 정돈하면 하루 종일 깔끔하게 유지돼요. / 굵은 모발이라 트리트먼트를 3분 정도 얹어두면 흡수가 더 잘 돼요. / 두피에 자극이 적은 홈케어로 컨디션 회복을 우선해보세요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 당분간은 전체 염색이나 펌보다 두피 자극이 적은 홈케어를 먼저 챙겨보세요.","""강한 펌보다는 가벼운 레이어드 커트나 부분 볼륨으로 진행하고 싶어요."" / ""겉머리는 가볍게 틴닝해서 무게감만 살짝 줄여주세요.""","#굵은모 / #숱많음 / #손상케어"
"straight_hair__coarse__medium_density__count_1_2","straight_hair","coarse","medium_density","count_1_2","straight_coarse_medium","결이 좋은 차분한 직모","직모에 굵기가 있고 숱은 보통 수준이라 안정적으로 힘 있는 모발이에요.","무게감이 아주 부담스러운 정도는 아니지만, 끝선에 가벼운 레이어드를 더하면 답답함 없이 결을 살릴 수 있어요.","손상 이력이 적어서 볼륨매직이나 디지털펌 같은 볼륨 시술을 편하게 고려해볼 수 있어요.","손상 이력 적음","지금은 시술 이력이 적어 특별히 주의할 부분은 없어요.","숱이 적당한 편이라 평소 드라이 루틴 그대로 유지해도 충분해요. / 굵은 모발이라 트리트먼트를 3분 정도 얹어두면 흡수가 더 잘 돼요. / 지금처럼 관리하면 충분해요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 지금처럼 시술 빈도가 적은 편이면 특별히 피할 건 없어요.","""양감을 가볍게 조절하는 레이어드 커트나 볼륨매직으로 상담받고 싶어요."" / ""지금 밸런스를 유지하는 선에서 다듬어주세요.""","#굵은모"
"straight_hair__coarse__medium_density__count_3_4","straight_hair","coarse","medium_density","count_3_4","straight_coarse_medium","결이 좋은 차분한 직모","직모에 굵기가 있고 숱은 보통 수준이라 안정적으로 힘 있는 모발이에요.","무게감이 아주 부담스러운 정도는 아니지만, 끝선에 가벼운 레이어드를 더하면 답답함 없이 결을 살릴 수 있어요.","볼륨매직이나 디지털펌 같은 볼륨 시술을 고려할 수 있는 상태예요. 트리트먼트를 함께 챙기면 결과가 더 오래가요.","손상 이력 보통","다만 시술을 이어갈 계획이라면 트리트먼트 주기를 함께 챙기면 좋아요.","숱이 적당한 편이라 평소 드라이 루틴 그대로 유지해도 충분해요. / 굵은 모발이라 트리트먼트를 3분 정도 얹어두면 흡수가 더 잘 돼요. / 주 1회 정도 트리트먼트를 더해주면 좋아요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 이번 주는 새 펌이나 염색보다는 트리트먼트 위주로 관리해보면 좋아요.","""양감을 가볍게 조절하는 레이어드 커트나 볼륨매직으로 상담받고 싶어요."" / ""지금 밸런스를 유지하는 선에서 다듬어주세요.""","#굵은모"
"straight_hair__coarse__medium_density__count_5_6","straight_hair","coarse","medium_density","count_5_6","straight_coarse_medium","결이 좋은 차분한 직모","직모에 굵기가 있고 숱은 보통 수준이라 안정적으로 힘 있는 모발이에요.","무게감이 아주 부담스러운 정도는 아니지만, 끝선에 가벼운 레이어드를 더하면 답답함 없이 결을 살릴 수 있어요.","전체 시술보다는 가벼운 레이어드 커트나 부분 볼륨부터 시작해보는 걸 추천해요.","손상 이력 잦음 — 주의 단계","다만 시술 이력이 잦은 편이라 강한 정돈 시술은 신중하게 접근하는 것이 좋아요.","숱이 적당한 편이라 평소 드라이 루틴 그대로 유지해도 충분해요. / 굵은 모발이라 트리트먼트를 3분 정도 얹어두면 흡수가 더 잘 돼요. / 단백질 트리트먼트 빈도를 조금 늘려서 회복을 도와주세요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 다음 시술까지 2주 정도 간격을 두면 모발이 회복할 시간을 가질 수 있어요.","""강한 펌보다는 가벼운 레이어드 커트나 부분 볼륨으로 진행하고 싶어요."" / ""지금 밸런스를 유지하는 선에서 다듬어주세요.""","#굵은모 / #손상케어"
"straight_hair__coarse__medium_density__count_7plus","straight_hair","coarse","medium_density","count_7plus","straight_coarse_medium","결이 좋은 차분한 직모","직모에 굵기가 있고 숱은 보통 수준이라 안정적으로 힘 있는 모발이에요.","무게감이 아주 부담스러운 정도는 아니지만, 끝선에 가벼운 레이어드를 더하면 답답함 없이 결을 살릴 수 있어요.","강한 정돈 시술보다 홈케어로 컨디션을 먼저 회복한 뒤 가벼운 레이어드 커트나 부분 볼륨 정도로 시작하는 걸 추천해요.","손상 이력 많음 — 신중 단계","다만 시술 이력이 많아 강한 정돈 시술은 신중하게 접근하는 것이 좋아요.","숱이 적당한 편이라 평소 드라이 루틴 그대로 유지해도 충분해요. / 굵은 모발이라 트리트먼트를 3분 정도 얹어두면 흡수가 더 잘 돼요. / 두피에 자극이 적은 홈케어로 컨디션 회복을 우선해보세요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 당분간은 전체 염색이나 펌보다 두피 자극이 적은 홈케어를 먼저 챙겨보세요.","""강한 펌보다는 가벼운 레이어드 커트나 부분 볼륨으로 진행하고 싶어요."" / ""지금 밸런스를 유지하는 선에서 다듬어주세요.""","#굵은모 / #손상케어"
"straight_hair__coarse__thin_density__count_1_2","straight_hair","coarse","thin_density","count_1_2","straight_coarse_sparse","숱은 적지만 힘 있는 직모","직모에 굵기가 있는데 숱은 적은, 비교적 드문 조합이에요. 실제 촉감을 함께 확인해보는 게 더 정확해요.","숱이 적게 느껴진다면 끝선의 두께감을 살리는 커트와 정수리 볼륨을 보완하는 방향을 함께 안내드려요.","손상 이력이 적어서 볼륨매직이나 디지털펌 같은 볼륨 시술을 편하게 고려해볼 수 있어요.","손상 이력 적음","지금은 시술 이력이 적어 특별히 주의할 부분은 없어요.","숱이 적은 편이니 뿌리부터 들어올리며 드라이하면 볼륨감을 살리기 좋아요. / 굵은 모발이라 트리트먼트를 3분 정도 얹어두면 흡수가 더 잘 돼요. / 지금처럼 관리하면 충분해요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 지금처럼 시술 빈도가 적은 편이면 특별히 피할 건 없어요. / 무거운 오일 타입 제품은 뿌리보다 끝부분에만 살짝 사용해보세요.","""양감을 가볍게 조절하는 레이어드 커트나 볼륨매직으로 상담받고 싶어요."" / ""뿌리 볼륨을 살려주는 시술도 함께 상담받고 싶어요.""","#굵은모 / #볼륨필요"
"straight_hair__coarse__thin_density__count_3_4","straight_hair","coarse","thin_density","count_3_4","straight_coarse_sparse","숱은 적지만 힘 있는 직모","직모에 굵기가 있는데 숱은 적은, 비교적 드문 조합이에요. 실제 촉감을 함께 확인해보는 게 더 정확해요.","숱이 적게 느껴진다면 끝선의 두께감을 살리는 커트와 정수리 볼륨을 보완하는 방향을 함께 안내드려요.","볼륨매직이나 디지털펌 같은 볼륨 시술을 고려할 수 있는 상태예요. 트리트먼트를 함께 챙기면 결과가 더 오래가요.","손상 이력 보통","다만 시술을 이어갈 계획이라면 트리트먼트 주기를 함께 챙기면 좋아요.","숱이 적은 편이니 뿌리부터 들어올리며 드라이하면 볼륨감을 살리기 좋아요. / 굵은 모발이라 트리트먼트를 3분 정도 얹어두면 흡수가 더 잘 돼요. / 주 1회 정도 트리트먼트를 더해주면 좋아요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 이번 주는 새 펌이나 염색보다는 트리트먼트 위주로 관리해보면 좋아요. / 무거운 오일 타입 제품은 뿌리보다 끝부분에만 살짝 사용해보세요.","""양감을 가볍게 조절하는 레이어드 커트나 볼륨매직으로 상담받고 싶어요."" / ""뿌리 볼륨을 살려주는 시술도 함께 상담받고 싶어요.""","#굵은모 / #볼륨필요"
"straight_hair__coarse__thin_density__count_5_6","straight_hair","coarse","thin_density","count_5_6","straight_coarse_sparse","숱은 적지만 힘 있는 직모","직모에 굵기가 있는데 숱은 적은, 비교적 드문 조합이에요. 실제 촉감을 함께 확인해보는 게 더 정확해요.","숱이 적게 느껴진다면 끝선의 두께감을 살리는 커트와 정수리 볼륨을 보완하는 방향을 함께 안내드려요.","전체 시술보다는 가벼운 레이어드 커트나 부분 볼륨부터 시작해보는 걸 추천해요.","손상 이력 잦음 — 주의 단계","다만 시술 이력이 잦은 편이라 강한 정돈 시술은 신중하게 접근하는 것이 좋아요.","숱이 적은 편이니 뿌리부터 들어올리며 드라이하면 볼륨감을 살리기 좋아요. / 굵은 모발이라 트리트먼트를 3분 정도 얹어두면 흡수가 더 잘 돼요. / 단백질 트리트먼트 빈도를 조금 늘려서 회복을 도와주세요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 다음 시술까지 2주 정도 간격을 두면 모발이 회복할 시간을 가질 수 있어요. / 무거운 오일 타입 제품은 뿌리보다 끝부분에만 살짝 사용해보세요.","""강한 펌보다는 가벼운 레이어드 커트나 부분 볼륨으로 진행하고 싶어요."" / ""뿌리 볼륨을 살려주는 시술도 함께 상담받고 싶어요.""","#굵은모 / #볼륨필요 / #손상케어"
"straight_hair__coarse__thin_density__count_7plus","straight_hair","coarse","thin_density","count_7plus","straight_coarse_sparse","숱은 적지만 힘 있는 직모","직모에 굵기가 있는데 숱은 적은, 비교적 드문 조합이에요. 실제 촉감을 함께 확인해보는 게 더 정확해요.","숱이 적게 느껴진다면 끝선의 두께감을 살리는 커트와 정수리 볼륨을 보완하는 방향을 함께 안내드려요.","강한 정돈 시술보다 홈케어로 컨디션을 먼저 회복한 뒤 가벼운 레이어드 커트나 부분 볼륨 정도로 시작하는 걸 추천해요.","손상 이력 많음 — 신중 단계","다만 시술 이력이 많아 강한 정돈 시술은 신중하게 접근하는 것이 좋아요.","숱이 적은 편이니 뿌리부터 들어올리며 드라이하면 볼륨감을 살리기 좋아요. / 굵은 모발이라 트리트먼트를 3분 정도 얹어두면 흡수가 더 잘 돼요. / 두피에 자극이 적은 홈케어로 컨디션 회복을 우선해보세요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 당분간은 전체 염색이나 펌보다 두피 자극이 적은 홈케어를 먼저 챙겨보세요. / 무거운 오일 타입 제품은 뿌리보다 끝부분에만 살짝 사용해보세요.","""강한 펌보다는 가벼운 레이어드 커트나 부분 볼륨으로 진행하고 싶어요."" / ""뿌리 볼륨을 살려주는 시술도 함께 상담받고 싶어요.""","#굵은모 / #볼륨필요 / #손상케어"
"straight_hair__medium_thickness__thick_density__count_1_2","straight_hair","medium_thickness","thick_density","count_1_2","straight_medium_dense","볼륨감 있는 표준 직모","직모에 굵기는 보통이고 숱이 많아서 자연스럽게 볼륨이 살아있는 모발이에요.","숱이 많은 만큼 겉머리 부분만 가볍게 틴닝하면 무게감 없이 볼륨을 유지할 수 있어요.","손상 이력이 적어서 볼륨매직이나 디지털펌 같은 볼륨 시술을 편하게 고려해볼 수 있어요.","손상 이력 적음","지금은 시술 이력이 적어 특별히 주의할 부분은 없어요.","숱이 많은 편이니 밑머리 볼륨은 가볍게 눌러 정돈하면 하루 종일 깔끔하게 유지돼요. / 보통 굵기라 평소 쓰는 제품 양 그대로 사용해도 괜찮아요. / 지금처럼 관리하면 충분해요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 지금처럼 시술 빈도가 적은 편이면 특별히 피할 건 없어요.","""양감을 가볍게 조절하는 레이어드 커트나 볼륨매직으로 상담받고 싶어요."" / ""겉머리는 가볍게 틴닝해서 무게감만 살짝 줄여주세요.""","#숱많음"
"straight_hair__medium_thickness__thick_density__count_3_4","straight_hair","medium_thickness","thick_density","count_3_4","straight_medium_dense","볼륨감 있는 표준 직모","직모에 굵기는 보통이고 숱이 많아서 자연스럽게 볼륨이 살아있는 모발이에요.","숱이 많은 만큼 겉머리 부분만 가볍게 틴닝하면 무게감 없이 볼륨을 유지할 수 있어요.","볼륨매직이나 디지털펌 같은 볼륨 시술을 고려할 수 있는 상태예요. 트리트먼트를 함께 챙기면 결과가 더 오래가요.","손상 이력 보통","다만 시술을 이어갈 계획이라면 트리트먼트 주기를 함께 챙기면 좋아요.","숱이 많은 편이니 밑머리 볼륨은 가볍게 눌러 정돈하면 하루 종일 깔끔하게 유지돼요. / 보통 굵기라 평소 쓰는 제품 양 그대로 사용해도 괜찮아요. / 주 1회 정도 트리트먼트를 더해주면 좋아요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 이번 주는 새 펌이나 염색보다는 트리트먼트 위주로 관리해보면 좋아요.","""양감을 가볍게 조절하는 레이어드 커트나 볼륨매직으로 상담받고 싶어요."" / ""겉머리는 가볍게 틴닝해서 무게감만 살짝 줄여주세요.""","#숱많음"
"straight_hair__medium_thickness__thick_density__count_5_6","straight_hair","medium_thickness","thick_density","count_5_6","straight_medium_dense","볼륨감 있는 표준 직모","직모에 굵기는 보통이고 숱이 많아서 자연스럽게 볼륨이 살아있는 모발이에요.","숱이 많은 만큼 겉머리 부분만 가볍게 틴닝하면 무게감 없이 볼륨을 유지할 수 있어요.","전체 시술보다는 가벼운 레이어드 커트나 부분 볼륨부터 시작해보는 걸 추천해요.","손상 이력 잦음 — 주의 단계","다만 시술 이력이 잦은 편이라 강한 정돈 시술은 신중하게 접근하는 것이 좋아요.","숱이 많은 편이니 밑머리 볼륨은 가볍게 눌러 정돈하면 하루 종일 깔끔하게 유지돼요. / 보통 굵기라 평소 쓰는 제품 양 그대로 사용해도 괜찮아요. / 단백질 트리트먼트 빈도를 조금 늘려서 회복을 도와주세요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 다음 시술까지 2주 정도 간격을 두면 모발이 회복할 시간을 가질 수 있어요.","""강한 펌보다는 가벼운 레이어드 커트나 부분 볼륨으로 진행하고 싶어요."" / ""겉머리는 가볍게 틴닝해서 무게감만 살짝 줄여주세요.""","#숱많음 / #손상케어"
"straight_hair__medium_thickness__thick_density__count_7plus","straight_hair","medium_thickness","thick_density","count_7plus","straight_medium_dense","볼륨감 있는 표준 직모","직모에 굵기는 보통이고 숱이 많아서 자연스럽게 볼륨이 살아있는 모발이에요.","숱이 많은 만큼 겉머리 부분만 가볍게 틴닝하면 무게감 없이 볼륨을 유지할 수 있어요.","강한 정돈 시술보다 홈케어로 컨디션을 먼저 회복한 뒤 가벼운 레이어드 커트나 부분 볼륨 정도로 시작하는 걸 추천해요.","손상 이력 많음 — 신중 단계","다만 시술 이력이 많아 강한 정돈 시술은 신중하게 접근하는 것이 좋아요.","숱이 많은 편이니 밑머리 볼륨은 가볍게 눌러 정돈하면 하루 종일 깔끔하게 유지돼요. / 보통 굵기라 평소 쓰는 제품 양 그대로 사용해도 괜찮아요. / 두피에 자극이 적은 홈케어로 컨디션 회복을 우선해보세요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 당분간은 전체 염색이나 펌보다 두피 자극이 적은 홈케어를 먼저 챙겨보세요.","""강한 펌보다는 가벼운 레이어드 커트나 부분 볼륨으로 진행하고 싶어요."" / ""겉머리는 가볍게 틴닝해서 무게감만 살짝 줄여주세요.""","#숱많음 / #손상케어"
"straight_hair__medium_thickness__medium_density__count_1_2","straight_hair","medium_thickness","medium_density","count_1_2","straight_medium_medium","밸런스가 좋은 직모","직모에 굵기와 숱 모두 보통 수준이라 스타일 소화력이 좋은 모발이에요.","특별한 보정 없이도 다양한 커트와 스타일을 편하게 시도해볼 수 있어요.","손상 이력이 적어서 볼륨매직이나 디지털펌 같은 볼륨 시술을 편하게 고려해볼 수 있어요.","손상 이력 적음","지금은 시술 이력이 적어 특별히 주의할 부분은 없어요.","숱이 적당한 편이라 평소 드라이 루틴 그대로 유지해도 충분해요. / 보통 굵기라 평소 쓰는 제품 양 그대로 사용해도 괜찮아요. / 지금처럼 관리하면 충분해요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 지금처럼 시술 빈도가 적은 편이면 특별히 피할 건 없어요.","""양감을 가볍게 조절하는 레이어드 커트나 볼륨매직으로 상담받고 싶어요."" / ""지금 밸런스를 유지하는 선에서 다듬어주세요.""","#건강모"
"straight_hair__medium_thickness__medium_density__count_3_4","straight_hair","medium_thickness","medium_density","count_3_4","straight_medium_medium","밸런스가 좋은 직모","직모에 굵기와 숱 모두 보통 수준이라 스타일 소화력이 좋은 모발이에요.","특별한 보정 없이도 다양한 커트와 스타일을 편하게 시도해볼 수 있어요.","볼륨매직이나 디지털펌 같은 볼륨 시술을 고려할 수 있는 상태예요. 트리트먼트를 함께 챙기면 결과가 더 오래가요.","손상 이력 보통","다만 시술을 이어갈 계획이라면 트리트먼트 주기를 함께 챙기면 좋아요.","숱이 적당한 편이라 평소 드라이 루틴 그대로 유지해도 충분해요. / 보통 굵기라 평소 쓰는 제품 양 그대로 사용해도 괜찮아요. / 주 1회 정도 트리트먼트를 더해주면 좋아요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 이번 주는 새 펌이나 염색보다는 트리트먼트 위주로 관리해보면 좋아요.","""양감을 가볍게 조절하는 레이어드 커트나 볼륨매직으로 상담받고 싶어요."" / ""지금 밸런스를 유지하는 선에서 다듬어주세요.""","#건강모"
"straight_hair__medium_thickness__medium_density__count_5_6","straight_hair","medium_thickness","medium_density","count_5_6","straight_medium_medium","밸런스가 좋은 직모","직모에 굵기와 숱 모두 보통 수준이라 스타일 소화력이 좋은 모발이에요.","특별한 보정 없이도 다양한 커트와 스타일을 편하게 시도해볼 수 있어요.","전체 시술보다는 가벼운 레이어드 커트나 부분 볼륨부터 시작해보는 걸 추천해요.","손상 이력 잦음 — 주의 단계","다만 시술 이력이 잦은 편이라 강한 정돈 시술은 신중하게 접근하는 것이 좋아요.","숱이 적당한 편이라 평소 드라이 루틴 그대로 유지해도 충분해요. / 보통 굵기라 평소 쓰는 제품 양 그대로 사용해도 괜찮아요. / 단백질 트리트먼트 빈도를 조금 늘려서 회복을 도와주세요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 다음 시술까지 2주 정도 간격을 두면 모발이 회복할 시간을 가질 수 있어요.","""강한 펌보다는 가벼운 레이어드 커트나 부분 볼륨으로 진행하고 싶어요."" / ""지금 밸런스를 유지하는 선에서 다듬어주세요.""","#손상케어"
"straight_hair__medium_thickness__medium_density__count_7plus","straight_hair","medium_thickness","medium_density","count_7plus","straight_medium_medium","밸런스가 좋은 직모","직모에 굵기와 숱 모두 보통 수준이라 스타일 소화력이 좋은 모발이에요.","특별한 보정 없이도 다양한 커트와 스타일을 편하게 시도해볼 수 있어요.","강한 정돈 시술보다 홈케어로 컨디션을 먼저 회복한 뒤 가벼운 레이어드 커트나 부분 볼륨 정도로 시작하는 걸 추천해요.","손상 이력 많음 — 신중 단계","다만 시술 이력이 많아 강한 정돈 시술은 신중하게 접근하는 것이 좋아요.","숱이 적당한 편이라 평소 드라이 루틴 그대로 유지해도 충분해요. / 보통 굵기라 평소 쓰는 제품 양 그대로 사용해도 괜찮아요. / 두피에 자극이 적은 홈케어로 컨디션 회복을 우선해보세요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 당분간은 전체 염색이나 펌보다 두피 자극이 적은 홈케어를 먼저 챙겨보세요.","""강한 펌보다는 가벼운 레이어드 커트나 부분 볼륨으로 진행하고 싶어요."" / ""지금 밸런스를 유지하는 선에서 다듬어주세요.""","#손상케어"
"straight_hair__medium_thickness__thin_density__count_1_2","straight_hair","medium_thickness","thin_density","count_1_2","straight_medium_sparse","볼륨이 아쉬운 직모","직모에 굵기는 보통이지만 숱이 적어 볼륨이 아쉽게 느껴지는 모발이에요.","뿌리 볼륨을 살리는 드라이 방향과 가벼운 C컬·S컬 스타일링이 볼륨감을 보완해줘요.","손상 이력이 적어서 볼륨매직이나 디지털펌 같은 볼륨 시술을 편하게 고려해볼 수 있어요.","손상 이력 적음","지금은 시술 이력이 적어 특별히 주의할 부분은 없어요.","숱이 적은 편이니 뿌리부터 들어올리며 드라이하면 볼륨감을 살리기 좋아요. / 보통 굵기라 평소 쓰는 제품 양 그대로 사용해도 괜찮아요. / 지금처럼 관리하면 충분해요.","고온 고데기를 매일 쓰기보다는 한 단계 낮은 온도로 스타일링해보세요. / 지금처럼 시술 빈도가 적은 편이면 특별히 피할 건 없어요. / 무거운 오일 타입 제품은 뿌리보다 끝부분에만 살짝 사용해보세요.","""양감을 가볍게 조절하는 레이어드 커트나 볼륨매직으로 상담받고 싶어요."" / ""뿌리 볼륨을 살려주는 시술도 함께 상담받고 싶어요.""","#볼륨필요"
